City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
220,storsteinnes,0,NO,1516485000,83,69.24,19.23,12.2,2.15
221,luderitz,92,NA,1516482000,82,-26.65,15.16,68.0,8.05
222,lavrentiya,0,RU,1516485753,100,65.58,-170.99,11.89,9.42
223,maragogi,76,BR,1516485753,87,-9.01,-35.22,78.17,7.18
224,bathsheba,40,BB,1516482000,78,13.22,-59.52,80.6,19.46
225,albina,20,GF,1516485754,67,5.5,-54.06,80.92,4.38
226,coquimbo,75,CL,1516482000,68,-29.95,-71.34,66.2,8.05
227,bredasdorp,92,ZA,1516482000,88,-34.53,20.04,71.6,19.46
228,ginir,0,ET,1516485755,80,7.14,40.71,51.76,2.59
229,fuerte olimpo,12,BR,1516485757,68,-21.04,-57.87,90.68,6.73
230,zhanaozen,24,KZ,1516485757,90,43.35,52.85,20.44,8.19
231,faya,0,SA,1516482000,81,18.39,42.45,53.6,2.59
232,verkh-usugli,12,RU,1516485758,52,52.7,115.17,-32.67,3.27
233,sur,0,OM,1516485759,100,22.57,59.53,67.69,3.83
234,adrar,0,DZ,1516482000,26,27.87,-0.29,55.4,8.05
235,camacupa,24,AO,1516485759,93,-12.02,17.48,60.04,2.37
236,theog,0,IN,1516485760,32,31.12,77.36,36.95,3.27
237,san cristobal,75,EC,1516482000,72,-0.39,-78.55,60.8,19.46
238,leningradskiy,0,RU,1516485761,81,69.38,178.42,-18.31,2.82
239,ongandjera,44,NA,1516485762,95,-17.88,15.07,66.11,3.71
240,yar-sale,0,RU,1516485762,43,66.83,70.83,-26.59,13.78
241,nasirabad,0,IN,1516485763,47,26.3,74.74,43.52,2.59
242,aykhal,68,RU,1516485763,40,65.95,111.51,-26.82,11.54
243,cherskiy,0,RU,1516485764,84,68.75,161.3,-39.15,2.37
244,hamilton,75,BM,1516481700,55,32.3,-64.78,66.2,11.41
245,magistralnyy,8,RU,1516485765,0,56.17,107.45,-40.32,3.04
246,faanui,68,PF,1516485766,99,-16.48,-151.75,83.3,21.27
247,arlit,0,NE,1516485766,80,18.74,7.39,58.91,6.29
248,hofn,8,IS,1516485767,100,64.25,-15.21,29.62,3.6
249,batagay-alyta,44,RU,1516485767,51,67.8,130.41,-32.22,2.48
250,meulaboh,80,ID,1516485768,100,4.14,96.13,77.18,4.61
251,dangriga,75,BZ,1516482000,74,16.97,-88.23,78.8,9.17
252,vardo,5,US,1516484820,19,39.62,-77.74,62.6,14.99
253,poronaysk,76,RU,1516485769,94,49.22,143.1,-8.59,3.94
254,ostuacan,88,MX,1516485770,72,17.42,-93.3,70.97,2.37
255,port antonio,20,JM,1516482000,70,18.18,-76.45,84.2,20.8
256,gornopravdinsk,0,RU,1516485771,68,60.06,69.92,-14.53,6.73
257,otradnoye,75,RU,1516483800,85,59.77,30.8,17.6,6.71
258,avon park,75,US,1516481700,55,27.6,-81.51,69.8,3.36
259,rtishchevo,88,RU,1516485772,91,52.26,43.79,20.12,12.21
260,matagami,12,NG,1516485773,53,9.67,8.4,61.7,4.83
261,lompoc,1,US,1516484100,82,34.64,-120.46,62.6,12.75
262,ambatondrazaka,88,MG,1516485774,79,-17.82,48.43,71.56,5.39
263,lata,0,IN,1516485774,39,30.78,78.62,36.68,2.93
264,manokwari,56,ID,1516485775,100,-0.87,134.08,79.57,3.71
265,wladyslawowo,90,PL,1516483800,100,54.79,18.4,30.2,4.7
266,yenagoa,24,NG,1516485776,80,4.92,6.26,77.18,8.08
267,rauma,56,FI,1516485000,85,61.13,21.5,12.2,3.49
268,ahipara,92,NZ,1516485777,94,-35.17,173.16,70.66,11.21
269,talnakh,48,RU,1516485777,95,69.49,88.39,-41.08,5.73
270,karpogory,44,RU,1516485778,70,64.0,44.44,7.52,8.19
271,mao,40,DO,1516482000,78,19.55,-71.08,78.8,6.93
272,ikongo,64,MG,1516485779,79,-21.88,47.44,69.62,2.71
273,sikonge,88,TZ,1516485779,98,-5.63,32.75,61.43,2.71
274,vanimo,68,PG,1516485780,100,-2.67,141.3,80.56,5.17
275,caravelas,0,BR,1516485780,100,-17.73,-39.27,80.74,14.67
276,shirokiy,76,RU,1516485781,94,53.87,39.17,25.88,11.21
277,havelock,1,US,1516485240,29,34.88,-76.9,64.4,8.05
278,duiwelskloof,0,ZA,1516485782,50,-23.69,30.14,68.09,6.85
279,malanje,36,AO,1516485782,97,-9.54,16.35,65.93,3.38
280,lebu,20,ET,1516482000,67,8.96,38.73,57.2,13.87
281,takoradi,0,GH,1516485783,98,4.89,-1.75,80.51,9.42
282,babu,88,CN,1516485784,97,23.23,104.89,49.55,2.15
283,ixtapa,75,MX,1516480980,73,20.71,-105.21,75.2,10.29
284,bara,0,NG,1516485786,31,10.41,10.6,64.58,8.19
285,hami,80,CN,1516485786,75,42.84,93.51,12.11,4.16
286,kargasok,0,RU,1516485787,83,59.06,80.87,-38.65,4.05
287,bahia blanca,76,AR,1516485787,44,-38.72,-62.27,88.12,13.33
288,nioro,0,GM,1516485788,34,13.79,-15.05,75.74,7.85
289,paamiut,80,GL,1516485788,82,61.99,-49.67,33.94,13.33
290,bam,0,IR,1516485789,66,29.11,58.36,38.66,6.29
291,ibra,0,OM,1516485790,100,22.69,58.55,52.66,1.7
292,bayan,8,MN,1516485794,44,47.25,107.54,-31.14,2.59
293,tezpur,0,IN,1516485794,88,26.62,92.79,53.74,2.37
294,nelson bay,0,AU,1516482000,83,-32.72,152.14,69.8,4.7
295,skegness,5,GB,1516485000,100,53.14,0.34,33.8,9.17
296,ati,0,TD,1516485796,48,13.21,18.34,62.78,3.94
297,alice springs,0,AU,1516482000,56,-23.7,133.88,73.4,5.17
298,cayenne,20,GF,1516483800,74,4.94,-52.33,80.6,8.05
299,port blair,8,IN,1516485797,100,11.67,92.75,80.87,10.65
300,tilichiki,88,RU,1516485798,87,60.47,166.1,29.75,17.02
301,khandyga,20,RU,1516485798,0,62.65,135.58,-54.27,2.71
302,port hardy,90,CA,1516482000,93,50.7,-127.42,39.2,17.22
303,isangel,92,VU,1516485800,100,-19.55,169.27,80.29,14.0
304,sao miguel do araguaia,20,BR,1516485633,72,-13.28,-50.16,86.0,3.49
305,inuvik,40,CA,1516482000,75,68.36,-133.71,-14.81,14.79
306,biloela,64,AU,1516485801,80,-24.4,150.51,70.07,8.97
307,vallam,12,IN,1516483800,83,10.72,79.06,69.8,2.24
308,samarai,68,PG,1516485802,100,-10.62,150.67,78.35,2.26
309,texarkana,90,US,1516481580,82,33.44,-94.04,60.8,9.17
310,acapulco,40,MX,1516481160,70,16.86,-99.88,84.2,9.17
311,sao joao da barra,0,BR,1516482000,65,-21.64,-41.05,82.4,11.41
312,general pico,0,AR,1516485804,60,-35.66,-63.75,87.04,12.33
313,majene,88,ID,1516485805,100,-3.54,118.97,77.36,14.56
314,tehri,0,IN,1516485805,39,30.38,78.48,36.68,2.93
315,tiarei,40,PF,1516484100,55,-17.53,-149.33,89.6,8.05
316,broken hill,0,AU,1516485806,55,-31.97,141.45,74.3,3.15
317,loncoche,0,CL,1516482000,48,-39.37,-72.63,82.4,12.75
318,vidim,20,CZ,1516483800,89,50.47,14.53,32.0,5.82
319,churapcha,24,RU,1516485808,0,62.0,132.43,-49.18,2.71
320,glossa,20,GR,1516483200,93,35.47,23.78,50.0,3.49
321,borogontsy,12,RU,1516485809,0,62.67,131.17,-51.12,2.71
322,soyo,48,AO,1516485809,97,-6.13,12.37,74.93,0.47
323,tungor,12,RU,1516485810,94,53.39,142.95,-7.87,18.37
324,yurginskoye,80,RU,1516485810,78,56.82,67.39,2.84,7.85
325,burns lake,88,CA,1516485810,84,54.23,-125.76,19.4,2.93
326,dryden,90,CA,1516482000,86,49.79,-92.84,28.4,5.82
327,weiser,1,US,1516481580,98,44.25,-116.97,42.8,3.49
328,coxim,0,BR,1516485812,48,-18.5,-54.75,92.93,3.6
329,bethel,1,US,1516481580,77,60.79,-161.76,-2.21,11.41
330,mumford,8,GH,1516485813,85,5.26,-0.76,78.04,8.41
331,esperance,40,TT,1516482000,69,10.24,-61.45,82.4,14.99
332,hastings,20,NZ,1516485814,98,-39.64,176.84,71.24,1.92
333,hauterive,90,FR,1516483800,76,46.09,3.45,55.4,11.41
334,sept-iles,75,CA,1516482000,85,50.2,-66.38,15.8,4.7
335,diu,0,IN,1516485722,59,20.71,70.98,56.89,5.61
336,katherine,90,AU,1516483800,94,-14.47,132.26,77.0,3.36
337,celestun,0,MX,1516485818,93,20.87,-90.4,73.54,16.58
338,hoquiam,90,US,1516483260,93,46.98,-123.89,46.4,12.75
339,marshall,90,US,1516484160,80,39.39,-87.69,44.6,10.29
340,hasaki,75,JP,1516484940,92,35.73,140.83,30.2,1.12
341,victoria,75,BN,1516482000,100,5.28,115.24,77.0,2.24
342,simdega,0,IN,1516485821,83,22.61,84.51,45.59,2.82
343,capalnita,80,RO,1516485821,96,46.37,25.52,28.31,2.59
344,warrington,40,GB,1516485000,100,53.39,-2.59,37.4,5.82
345,banjarmasin,100,ID,1516485822,100,-3.32,114.59,75.79,7.4
346,kamenka,88,RU,1516485823,91,53.19,44.05,20.03,12.1
347,elban,44,RU,1516485824,72,50.1,136.51,-10.8,2.48
348,pine bluff,90,US,1516483380,72,34.23,-92.0,62.6,10.29
349,chimore,24,BO,1516485825,79,-16.98,-65.13,82.31,3.6
350,aqtobe,0,KZ,1516483800,84,50.28,57.21,3.2,11.18
351,oranjemund,92,ZA,1516485826,91,-28.55,16.43,64.49,8.97
352,hutchinson,1,US,1516481760,51,38.06,-97.93,62.6,14.99
353,vao,88,EE,1516485827,93,59.1,26.19,22.91,3.83
354,bambous virieux,20,MU,1516482000,94,-20.34,57.76,75.2,4.7
355,mitsamiouli,64,KM,1516485828,100,-11.38,43.28,80.15,11.43
356,saint-francois,92,FR,1516485829,96,46.42,3.91,48.34,19.93
357,yumen,36,CN,1516485829,80,40.29,97.04,22.06,11.54
358,vinh,92,VN,1516485830,99,18.67,105.69,64.22,3.94
359,katobu,44,ID,1516485830,93,-4.94,122.53,82.13,9.42
360,zig,76,US,1516484100,87,40.13,-92.77,51.8,9.08
361,derzhavinsk,64,KZ,1516485831,82,51.1,66.31,3.34,14.45
362,plettenberg bay,48,ZA,1516485832,94,-34.05,23.37,69.94,19.6
363,tayoltita,20,MX,1516485832,28,24.11,-105.93,76.1,2.15
364,wanaka,20,NZ,1516485833,49,-44.7,169.14,65.62,1.7
365,burias,68,PH,1516485833,99,11.45,122.55,70.79,1.36
366,hervey bay,92,AU,1516485834,99,-25.3,152.85,77.18,9.75
367,zulueta,75,CU,1516481400,64,22.37,-79.57,75.2,11.41
368,beloha,0,MG,1516485835,89,-25.17,45.06,66.47,5.28
369,ilulissat,5,GL,1516485000,52,69.22,-51.1,19.4,31.09
370,geraldton,90,CA,1516482000,65,49.72,-86.95,8.6,3.49
371,tafresh,0,IR,1516485837,76,34.69,50.01,27.37,5.95
372,champerico,75,MX,1516480920,51,16.38,-93.6,80.6,11.41
373,ileza,68,RU,1516485838,77,61.05,43.9,7.25,16.46
374,san juan,40,PR,1516484700,69,18.47,-66.12,82.4,20.8
375,gao,0,ML,1516485840,58,16.28,-0.04,65.71,7.74
376,sagauli,0,IN,1516485840,89,26.78,84.73,48.83,2.71
377,kruisfontein,92,ZA,1516485841,90,-34.0,24.73,71.69,14.45
